0, 26, 1, 18, 3194
0, 36, 1, 30, 610
0, 37, 1, 30, 1570
0, 41, 1, 30, 1585
0, 49, 1, 59, 125
0, 58, 1, 56, 73
0, 66, 1, 18, 170
0, 74, 1, 18, 776
0, 75, 1, 102, 625
0, 80, 1, 94, 121
0, 83, 1, 199, 45352
0, 88, 1, 102, 169
0, 94, 1, 102, 106
0, 98, 1, 113, 41
0, 99, 1, 113, 261
0, 104, 1, 18, 3316
0, 109, 1, 144, 914
0, 111, 1, 153, 45
0, 112, 1, 18, 4405
0, 137, 1, 199, 8080
0, 140, 1, 199, 4660
0, 141, 1, 199, 4226
0, 162, 1, 199, 144
1, 18, 2, 22, 1361
1, 30, 2, 47, 1369
1, 56, 2, 47, 305
1, 59, 2, 66, 890
1, 84, 2, 66, 10
1, 93, 2, 53, 234
1, 94, 2, 95, 290
1, 102, 2, 62, 1525
1, 113, 2, 62, 245
1, 124, 2, 95, 85
1, 130, 2, 120, 274
1, 144, 2, 111, 202
1, 153, 2, 120, 89
1, 199, 2, 150, 3973
1, 200, 2, 148, 14089
2, 21, 3, 91, 23021
2, 22, 3, 78, 11801
2, 33, 3, 91, 9418
2, 47, 3, 91, 6505
2, 53, 3, 91, 3944
2, 62, 3, 91, 1732
2, 66, 3, 78, 45
2, 84, 3, 100, 12517
2, 94, 3, 91, 640
2, 95, 3, 100, 122
2, 111, 3, 123, 185
2, 120, 3, 123, 173
2, 130, 3, 140, 11425
2, 133, 3, 128, 442
2, 148, 3, 140, 200
2, 150, 3, 140, 488
3, 63, 4, 55, 65
3, 78, 4, 55, 55754
3, 91, 4, 46, 865
3, 100, 4, 108, 50833
3, 123, 4, 85, 65
3, 128, 4, 104, 260
3, 130, 4, 104, 116
3, 131, 4, 127, 3690
3, 138, 4, 127, 1690
3, 140, 4, 125, 106
3, 161, 4, 125, 3636
3, 163, 4, 125, 6184
3, 170, 4, 127, 17984
4, 46, 5, 19, 1341
4, 55, 5, 48, 677
4, 85, 5, 123, 7076
4, 102, 5, 123, 1885
4, 104, 5, 123, 4810
4, 107, 5, 124, 2525
4, 108, 5, 123, 1693
4, 123, 5, 123, 2722
4, 125, 5, 130, 500
4, 127, 5, 130, 505
4, 147, 5, 123, 3505
5, 19, 6, 78, 365
5, 20, 6, 78, 4880
5, 23, 6, 44, 433
5, 31, 6, 44, 250
5, 36, 6, 44, 137
5, 48, 6, 80, 666
5, 61, 6, 42, 676
5, 80, 6, 111, 9
5, 101, 6, 20, 10337
5, 121, 6, 151, 9365
5, 123, 6, 154, 16810
5, 124, 6, 151, 4597
5, 130, 6, 80, 23885
