Reading frame
Pixel[0] has values (201, 68, 161)
Checking all values in frame are initialized
Data array is size 2
Pixel[0, 112] has vals L = 133, A = 107, B = 118
Pixel[0, 113] has vals L = 133, A = 107, B = 118
Pixel[0, 114] has vals L = 133, A = 106, B = 118
Pixel[0, 115] has vals L = 133, A = 106, B = 118
Pixel[0, 116] has vals L = 133, A = 106, B = 118
Pixel[0, 117] has vals L = 132, A = 110, B = 119
Pixel[0, 118] has vals L = 132, A = 110, B = 119
Pixel[0, 119] has vals L = 131, A = 110, B = 119
Pixel[0, 120] has vals L = 131, A = 110, B = 119
Pixel[0, 121] has vals L = 131, A = 110, B = 119
Pixel[0, 122] has vals L = 131, A = 110, B = 119
Pixel[0, 123] has vals L = 131, A = 110, B = 119
Pixel[0, 124] has vals L = 131, A = 110, B = 119
Pixel[0, 125] has vals L = 131, A = 109, B = 119
Pixel[0, 126] has vals L = 131, A = 109, B = 119
Pixel[0, 127] has vals L = 131, A = 109, B = 119
Pixel[0, 128] has vals L = 131, A = 109, B = 119
Pixel[0, 129] has vals L = 131, A = 109, B = 119
Pixel[0, 130] has vals L = 131, A = 109, B = 119
Pixel[0, 131] has vals L = 131, A = 109, B = 119
Pixel[0, 132] has vals L = 131, A = 109, B = 119
Pixel[0, 133] has vals L = 131, A = 110, B = 120
Pixel[0, 134] has vals L = 131, A = 110, B = 120
Pixel[0, 135] has vals L = 131, A = 110, B = 120
Pixel[0, 136] has vals L = 131, A = 110, B = 120
Pixel[0, 137] has vals L = 131, A = 110, B = 120
Pixel[0, 138] has vals L = 131, A = 110, B = 120
Pixel[0, 139] has vals L = 131, A = 110, B = 120
Pixel[0, 140] has vals L = 131, A = 110, B = 120
Pixel[0, 141] has vals L = 131, A = 112, B = 120
Pixel[0, 142] has vals L = 131, A = 112, B = 120
Pixel[0, 143] has vals L = 131, A = 112, B = 120
Pixel[0, 144] has vals L = 131, A = 112, B = 120
Pixel[0, 145] has vals L = 131, A = 112, B = 120
Pixel[0, 146] has vals L = 131, A = 112, B = 120
Pixel[0, 147] has vals L = 131, A = 112, B = 120
Pixel[0, 148] has vals L = 131, A = 112, B = 119
Pixel[0, 149] has vals L = 131, A = 114, B = 119
Pixel[0, 150] has vals L = 133, A = 114, B = 118
Pixel[0, 151] has vals L = 133, A = 114, B = 118
Pixel[0, 152] has vals L = 133, A = 114, B = 118
Pixel[0, 153] has vals L = 133, A = 114, B = 118
Pixel[0, 154] has vals L = 133, A = 114, B = 118
Pixel[0, 155] has vals L = 133, A = 114, B = 118
Pixel[0, 156] has vals L = 133, A = 114, B = 118
Pixel[0, 157] has vals L = 133, A = 116, B = 118
Pixel[0, 158] has vals L = 133, A = 116, B = 118
Pixel[0, 159] has vals L = 133, A = 116, B = 118
Pixel[0, 160] has vals L = 133, A = 116, B = 118
Pixel[0, 161] has vals L = 133, A = 116, B = 118
Pixel[0, 162] has vals L = 133, A = 116, B = 118
Pixel[0, 163] has vals L = 133, A = 116, B = 118
Pixel[0, 164] has vals L = 133, A = 116, B = 118
Pixel[0, 165] has vals L = 133, A = 116, B = 117
Pixel[0, 166] has vals L = 133, A = 116, B = 117
Pixel[0, 167] has vals L = 133, A = 116, B = 117
Pixel[0, 168] has vals L = 133, A = 116, B = 117
Pixel[0, 169] has vals L = 133, A = 116, B = 117
Pixel[0, 170] has vals L = 133, A = 116, B = 117
Pixel[0, 171] has vals L = 133, A = 116, B = 117
Pixel[0, 172] has vals L = 133, A = 116, B = 117
Pixel[0, 173] has vals L = 133, A = 116, B = 117
Pixel[0, 174] has vals L = 133, A = 116, B = 117
Pixel[0, 175] has vals L = 133, A = 116, B = 117
Pixel[0, 176] has vals L = 133, A = 116, B = 117
Pixel[0, 177] has vals L = 133, A = 116, B = 117
Pixel[0, 178] has vals L = 133, A = 116, B = 117
Pixel[0, 179] has vals L = 133, A = 116, B = 117
Pixel[0, 180] has vals L = 133, A = 116, B = 117
Pixel[0, 181] has vals L = 133, A = 117, B = 117
Pixel[0, 182] has vals L = 134, A = 118, B = 117
Pixel[0, 183] has vals L = 134, A = 119, B = 117
Pixel[0, 184] has vals L = 134, A = 120, B = 117
Pixel[0, 185] has vals L = 134, A = 120, B = 117
